group,name,units,upperLimit,lowerLimit,relaxedUpperLimit,relaxedLowerLimit
MP,OPEN_GND/J0300.19-J0300.20,ohm,10,0,,
MP,OPEN_GND/J0300.20-J0300.21,ohm,10,0,,
MP,OPEN_GND/J0300.21-J0300.22,ohm,10,0,,
MP,LISA_TO_PMU_BTN_L/J0300.14-WP0200,ohm,10,0,,
MP,SHORT,ohm,99999999,3000000,,
MP,D_U0202_VDD,V,1.1,0.2,,
MP,D_U0202_ENA,V,1.1,0.3,,
MP,D_U0202_RX0,V,1.1,0.3,,
MP,D_U0202_RX1,V,1.1,0.3,,
MP,D_U0202_RX2,V,1.1,0.3,,
MP,D_U0202_RX3,V,1.1,0.3,,
MP,D_U0202_RX4,V,1.1,0.3,,
MP,D_U0202_RX5,V,1.1,0.3,,
MP,D_U0202_RX6,V,1.1,0.3,,
MP,D_U0202_RX7,V,1.1,0.3,,
MP,ESD_DZ0201+,V,11.5,5,,
MP,ESD_DZ0201-,V,11.5,5,,
MP,STL,ohm,10,0,,
MP,IRLED_VF,V,2,1,,
MP,VOS_CH0,mV,35,1,,
MP,VOS_CH1,mV,35,1,,
MP,VOS_CH2,mV,35,1,,
MP,VOS_CH3,mV,35,1,,
MP,VOS_CH4,mV,35,1,,
MP,VOS_CH5,mV,35,1,,
MP,VOS_CH6,mV,35,1,,
MP,VOS_CH7,mV,35,1,,
MP,LISA_CURRENT,mA,10,0.1,,
MP,BLACK_CH0,mV,30,0,,
MP,BLACK_CH1,mV,30,0,,
MP,BLACK_CH2,mV,30,0,,
MP,BLACK_CH3,mV,30,0,,
MP,BLACK_CH4,mV,30,0,,
MP,BLACK_CH5,mV,30,0,,
MP,BLACK_CH6,mV,30,0,,
MP,BLACK_CH7,mV,30,0,,
MP,WHITE_CH0,mV,900,400,,
MP,WHITE_CH1,mV,900,400,,
MP,WHITE_CH2,mV,900,400,,
MP,WHITE_CH3,mV,900,400,,
MP,WHITE_CH4,mV,900,400,,
MP,WHITE_CH5,mV,900,400,,
MP,WHITE_CH6,mV,900,400,,
MP,WHITE_CH7,mV,900,400,,
MP,C0209,uF,0.682,0.329,,
MP,C0202,uF,0.319,0.154,,
MP,C0204,uF,0.319,0.154,,
MP,CF_SIG_VOUT_P,V,1.5,1.1,,
MP,CF_SIG_VOUT_N,V,-1.1,-1.5,,
MP,CF_SIG_VOUT_I,uA,35,15,,